critfield.dat 
Here are the field to temp points where we get a spike in our field messearument 

measurement       AVG Crit Temp                  AVG field                     Error Temp+                      Error Temp-                      Error field+                   Error field-         Points used                                                         
2                 1.3212507489544094             21.74914594711747             0.017266798120290305             0.018037064720953788             22.166648374512356             21.18328504551366    78,394,717,1039,1357,1680,1996,2316,2638,2959,3281,3602              
4                 3.657107087415572              1.0502495882097964            0.02768738812514382              0.028276937599556184             1.0713315127871696             1.0291676636324232   179,247,317                     
5                 3.6171443678546153             1.633640052015605             0.02731269776717049              0.027894433070382973             1.6671245773732122             1.6001555266579977   11,62,114
6                 3.593870905052963              1.9374745383615086            0.026975367538113026             0.027550306648385536             1.9490070221066322             1.8625446033810145   50,100,150,200,250
7                 3.590003141337135              1.980528305158214             0.027511772115527133             0.027511772115527133             1.9986749024707413             1.9100091027308197   7,57,108
8                 3.6344828711815254             1.3590736887732986            0.027561759887386295             0.028148660220481236             1.3767711313394022             1.3156944083224968   47,99,151
9                 3.635676343672906              1.3801465539661901            0.027435860922969457             0.02802013552339977              1.4351625487646298             1.3714954486345907   7,37,67,97
10                3.5695448775753746             2.251540485478977             0.02682254596962208              0.027394488022557617             2.3082197659297794             2.2058218465539667    26,56,82,110,138,166
11                3.562059928088314              2.3326905071521455            0.026669265599107206             0.02723825661594148              2.397284265279584              2.2909352405721717   24,52,80
12                3.575139799541249              2.1689687906371913            0.02680904386163796              0.0273807237107353               2.210431729518856              2.1123719115734723   38,78,118
13                3.5292523275215664             2.743324750758561             0.026378713544013                0.026942272358315922             2.7870293888166455             2.6633903771131346   25,65,105
14                3.0611914896602097             8.264954291287387             0.022871103006377957             0.023397364946291077             8.483780494148245              8.10742054616385     129,181,199,250                
15                3.077908469895132              8.066252535760729             0.022945961967072215             0.023472139921258517             8.134839011703512              7.773958907672303    33,84,135
16                2.721167797566134              11.864399814229985            0.02110901309123614              0.02166127616440816              11.930843953185958             11.401564369310796   49,69,89,110,148,188,229
17                2.3525512946444658             15.339807628955356            0.019815199199717082             0.020438298197164695             15.688718595578676             14.9927310793238     50,66,86
18                2.331179518252333              15.705727958387518            0.01976016582016138              0.020387658689630772             15.995308712613786             15.285720156046816   34,75,115
19                2.078327593590263              17.312172778500216            0.019310852963493108             0.01997701371971905              17.602690767230172             16.821795058517555   16,67,118
20                2.055770951180411              17.467868920676207            0.01920588115242161              0.019881362121524138             17.938546944083228             17.142751885565673   47,126,206
21                1.8172221639376942             18.984633680104032            0.018686831538157644             0.019404826522119833             19.38102600780234              18.521239271781536   4,47,97,122
22                1.8087942278434566             19.09136235370611             0.018660493553948054             0.0193803675945885               19.497808842652795             18.632841352405723   10,70,130,191
23                3.6558510326103804             0.8030275032509754            0.027594774100432318             0.028182367846078638             0.8277511053315997             0.7910301690507154   21,57,97,137

