Maesurement         method1           method2             method3             conduc                   Hallres                mu            error method1       error method2       error method3     error conduc        error Hallres       error mu
1                   2,213             2,267               2,09                5,367                    2,821                  15,14         0,023               0,05                0,248             0,055               0,029               0.32
2                   2,214             2,274               2,08                5,367                    2,819                  15,13         0,023               0,05                0,248             0,054               0,030               0.31
3                   2,210             2,271               2,09                5,367                    2,825                  15,16         0,023               0,05                0,248             0,054               0,030               0.32
4                   2,215             2,284               2,11                5,366                    2,818                  15,12         0,023               0,05                0,248             0,054               0,029               0.32
